year,state,production_oz,
1922,New Mexico,NA,
1922,North Carolina,NA,
1922,Oregon,5715,
1922,South Dakota,315298,
1922,Tennessee,209,
1922,Texas,NA,
1922,Utah,111110,
1922,Vermont,NA,
1922,Virginia,NA,
1922,Washington,9045,
1922,Wyoming,58,
1923,Alabama,6,
1923,Alaska,289539,
1923,Arizona,296109,
1923,California,647210,
1923,Colorado,318870,
1923,Georgia,26,
1923,Idaho,37,
1923,Maryland,NA,
1923,Michigan,85079,
1923,Montana,204293,
1923,Nevada,26689,
1923,New Mexico,NA,
1923,North Carolina,NA,
1923,Oregon,6824,
1923,South Dakota,309905,
1923,Tennessee,319,
1923,Texas,39,
1923,Utah,148825,
1923,Vermont,NA,
1923,Virginia,NA,
1923,Washington,16549,
1923,Wyoming,14,
1924,Alabama,0,
1924,Alaska,304072,
1924,Arizona,235996,
1924,California,636140,
1924,Colorado,415692,
1924,Georgia,32,
1924,Idaho,26,
1924,Maryland,NA,
1924,Michigan,97854,
1924,Montana,217963,
1924,Nevada,24804,
1924,New Mexico,NA,
1924,North Carolina,NA,
1924,Oregon,220,
1924,South Dakota,295930,
1924,Tennessee,329,
1924,Texas,NA,
1924,Utah,146487,
1924,Vermont,NA,
1924,Virginia,NA,
1924,Washington,14979,
1924,Wyoming,NA,
1925,Alabama,0,
1925,Alaska,307679,
1925,Arizona,201741,
1925,California,632035,
1925,Colorado,349607,
1925,Georgia,468,
1925,Idaho,20,
1925,Maryland,NA,
1925,Michigan,82123,
1925,Montana,187105,
1925,Nevada,26561,
1925,New Mexico,NA,
1925,North Carolina,NA,
1925,Oregon,897,
1925,South Dakota,289747,
1925,Tennessee,359,
1925,Texas,NA,
1925,Utah,177803,
1925,Vermont,NA,
1925,Virginia,NA,
1925,Washington,11139,
1925,Wyoming,NA,
1926,Alabama,0,
1926,Alaska,324450,
1926,Arizona,234011,
1926,California,576798,
1926,Colorado,342607,
1926,Georgia,149,
1926,Idaho,13,
1926,Maryland,NA,
1926,Michigan,60504,
1926,Montana,175382,
1926,Nevada,19631,
1926,New Mexico,NA,
1926,North Carolina,NA,
1926,Oregon,791,
1926,South Dakota,279529,
1926,Tennessee,417,
1926,Texas,110,
1926,Utah,182763,
1926,Vermont,2,
1926,Virginia,11,
1926,Washington,9342,
1926,Wyoming,NA,
1927,Alabama,0,
1927,Alaska,286720,
1927,Arizona,200495,
1927,California,564586,
1927,Colorado,255400,
1927,Georgia,50,
1927,Idaho,15,
1927,Maryland,NA,
1927,Michigan,53541,
1927,Montana,150346,
1927,Nevada,29242,
1927,New Mexico,NA,
1927,North Carolina,NA,
1927,Oregon,491,
1927,South Dakota,322032,
1927,Tennessee,426,
1927,Texas,396,
1927,Utah,193909,
1927,Vermont,NA,
1927,Virginia,NA,
1927,Washington,19515,
1927,Wyoming,58,
1928,Alabama,0,
1928,Alaska,331140,
1928,Arizona,191927,
1928,California,521740,
1928,Colorado,256644,
1928,Georgia,44,
1928,Idaho,20,
1928,Maryland,NA,
1928,Michigan,58196,
1928,Montana,175158,
1928,Nevada,32912,
1928,New Mexico,NA,
1928,North Carolina,NA,
1928,Oregon,114,
1928,South Dakota,317379,
1928,Tennessee,538,
1928,Texas,498,
1928,Utah,212560,
1928,Vermont,NA,
1928,Virginia,NA,
1928,Washington,16312,
1928,Wyoming,33,
1929,Alabama,10,
1929,Alaska,375438,
1929,Arizona,202318,
1929,California,412479,
1929,Colorado,213708,
1929,Georgia,125,
1929,Idaho,20,
1929,Maryland,NA,
1929,Michigan,54758,
1929,Montana,163711,
1929,Nevada,35177,
1929,New Mexico,NA,
1929,North Carolina,NA,
1929,Oregon,245,
1929,South Dakota,316837,
1929,Tennessee,565,
1929,Texas,1279,
1929,Utah,240420,
1929,Vermont,NA,
1929,Virginia,NA,
1929,Washington,3720,
1929,Wyoming,48,
1930,Alabama,22,
1930,Alaska,408983,
1930,Arizona,169390,
1930,California,457200,
1930,Colorado,218540,
1930,Georgia,203,
1930,Idaho,21,
1930,Maryland,NA,
1930,Michigan,43489,
1930,Montana,149064,
1930,Nevada,32370,
1930,New Mexico,NA,
1930,North Carolina,NA,
1930,Oregon,705,
1930,South Dakota,407221,
1930,Tennessee,696,
1930,Texas,177,
1930,Utah,208455,
1930,Vermont,NA,
1930,Virginia,NA,
1930,Washington,4245,
1930,Wyoming,443,
1931,Alabama,20,
1931,Alaska,459000,
1931,Arizona,126186,
1931,California,523135,
1931,Colorado,233300,
1931,Georgia,88,
1931,Idaho,18,
1931,Maryland,NA,
1931,Michigan,40116,
1931,Montana,142306,
1931,Nevada,31161,
1931,New Mexico,NA,
1931,North Carolina,NA,
1931,Oregon,368,
1931,South Dakota,432075,
1931,Tennessee,403,
1931,Texas,NA,
1931,Utah,198740,
1931,Vermont,NA,
1931,Virginia,NA,
1931,Washington,2904,
1931,Wyoming,56,
1932,Alabama,69,
1932,Alaska,493860,
1932,Arizona,66790,
1932,California,569167,
1932,Colorado,317928,
1932,Georgia,279,
1932,Idaho,46,
1932,Maryland,NA,
1932,Michigan,40116,
1932,Montana,129720,
1932,Nevada,23208,
1932,New Mexico,NA,
1932,North Carolina,NA,
1932,Oregon,367,
1932,South Dakota,480338,
1932,Tennessee,160,
1932,Texas,9,
1932,Utah,135256,
1932,Vermont,NA,
1932,Virginia,NA,
1932,Washington,5083,
1932,Wyoming,257,
1933,Alabama,4,
1933,Alaska,469286,
1933,Arizona,79993,
1933,California,613579,
1933,Colorado,242828,
1933,Georgia,558,
1933,Idaho,64,
1933,Maryland,14,
1933,Michigan,577822,
1933,Montana,98590,822
1933,Nevada,725,
1933,New Mexico,NA,
1933,North Carolina,NA,
1933,Oregon,20240,
1933,South Dakota,512404,
1933,Tennessee,223,
1933,Texas,NA,
1933,Utah,109130,
1933,Vermont,NA,
1933,Virginia,NA,
1933,Washington,4563,
1933,Wyoming,2200,
1934,Alabama,2781,
1934,Alaska,537281,
1934,Arizona,167024,
1934,California,719064,
1934,Colorado,324923,
1934,Georgia,970,
1934,Idaho,84,
1934,Maryland,NA,
1934,Michigan,997446,
1934,Montana,144275,
1934,Nevada,27307,
1934,New Mexico,NA,
1934,North Carolina,NA,
1934,Oregon,509,
1934,South Dakota,486119,
1934,Tennessee,455,
1934,Texas,359,
1934,Utah,136582,
1934,Vermont,NA,
1934,Virginia,NA,
1934,Washington,8301,
1934,Wyoming,4871,
1935,Alabama,2227,
1935,Alaska,469495,
1935,Arizona,241755,
1935,California,890430,
1935,Colorado,349281,
1935,Georgia,994,
1935,Idaho,83,
1935,Maryland,NA,
1935,Michigan,151088,
1935,Montana,188031,
1935,Nevada,33435,
1935,New Mexico,NA,
1935,North Carolina,NA,
1935,Oregon,2176,
1935,South Dakota,567230,
1935,Tennessee,423,
1935,Texas,518,
1935,Utah,184760,
1935,Vermont,NA,
1935,Virginia,NA,
1935,Washington,9739,
1935,Wyoming,3715,
1936,Alabama,4726,
1936,Alaska,540580,
1936,Arizona,322408,
1936,California,1077442,
1936,Colorado,366607,
1936,Georgia,450,
1936,Idaho,80,
1936,Maryland,668,
1936,Michigan,180209,
1936,Montana,286370,
1936,Nevada,33037,
1936,New Mexico,NA,
1936,North Carolina,NA,
1936,Oregon,2037,
1936,South Dakota,586353,
1936,Tennessee,410,
1936,Texas,613,
1936,Utah,223444,
1936,Vermont,NA,
1936,Virginia,NA,
1936,Washington,12217,
1936,Wyoming,1964,
1937,Alabama,2460,
1937,Alaska,627940,
1937,Arizona,332694,
1937,California,1174578,
1937,Colorado,368905,
1937,Georgia,743,
1937,Idaho,81,
1937,Maryland,1040,
1937,Michigan,202252,
1937,Montana,281332,
1937,Nevada,41171,
1937,New Mexico,NA,
1937,North Carolina,NA,
1937,Oregon,949,
1937,South Dakota,581544,
1937,Tennessee,263,
1937,Texas,562,
1937,Utah,322759,
1937,Vermont,NA,
1937,Virginia,NA,
1937,Washington,36310,
1937,Wyoming,1776,
1938,Alabama,41,
1938,Alaska,662000,
1938,Arizona,305043,
1938,California,1311129,
1938,Colorado,367468,
1938,Georgia,872,
1938,Idaho,103,
1938,Maryland,855,
1938,Michigan,203313,
1938,Montana,296434,
1938,Nevada,43050,
1938,New Mexico,NA,
1938,North Carolina,NA,
1938,Oregon,1878,
1938,South Dakota,594847,
1938,Tennessee,236,
1938,Texas,439,
1938,Utah,200630,
1938,Vermont,NA,
1938,Virginia,NA,
1938,Washington,74175,
1938,Wyoming,798,
1939,Alabama,3,
1939,Alaska,676780,
1939,Arizona,316453,
1939,California,1435264,
1939,Colorado,366852,
1939,Georgia,670,
1939,Idaho,116,
1939,Maryland,72,
1939,Michigan,264173,
1939,Montana,361518,
1939,Nevada,36979,
1939,New Mexico,NA,
1939,North Carolina,NA,
1939,Oregon,495,
1939,South Dakota,618536,
1939,Tennessee,163,
1939,Texas,324,
1939,Utah,277751,
1939,Vermont,NA,
1939,Virginia,NA,
1939,Washington,90420,
1939,Wyoming,583,
1940,Alabama,5,
1940,Alaska,755900,
1940,Arizona,294807,
1940,California,1455671,
1940,Colorado,367336,
1940,Georgia,961,
1940,Idaho,146,
1940,Maryland,NA,
1940,Michigan,272602,
1940,Montana,383933,
1940,Nevada,35943,
1940,New Mexico,NA,
1940,North Carolina,NA,
1940,Oregon,1943,
1940,South Dakota,586662,
1940,Tennessee,173,
1940,Texas,312,
1940,Utah,355494,
1940,Vermont,NA,
1940,Virginia,NA,
1940,Washington,82136,
1940,Wyoming,740,
1941,Alabama,30,
1941,Alaska,692314,
1941,Arizona,315392,
1941,California,1408793,
1941,Colorado,380029,
1941,Georgia,311,
1941,Idaho,149,
1941,Maryland,NA,
1941,Michigan,246475,
1941,Montana,366403,
1941,Nevada,27845,
1941,New Mexico,NA,
1941,North Carolina,NA,
1941,Oregon,3244,
1941,South Dakota,600637,
1941,Tennessee,227,
1941,Texas,306,
1941,Utah,356501,
1941,Vermont,NA,
1941,Virginia,NA,
1941,Washington,84176,
1941,Wyoming,478,
1942,Alabama,1,
1942,Alaska,487657,
1942,Arizona,253651,
1942,California,847997,
1942,Colorado,268627,
1942,Georgia,30,
1942,Idaho,95,
1942,Maryland,NA,
1942,Michigan,146892,
1942,Montana,295112,
1942,Nevada,11961,
1942,New Mexico,NA,
1942,North Carolina,NA,
1942,Oregon,4077,
1942,South Dakota,522098,
1942,Tennessee,159,
1942,Texas,236,
1942,Utah,391544,
1942,Vermont,NA,
1942,Virginia,NA,
1942,Washington,75396,
1942,Wyoming,23,
1943,Alabama,0,
1943,Alaska,99583,
1943,Arizona,171810,
1943,California,148328,
1943,Colorado,137558,
1943,Georgia,12,
1943,Idaho,30,
1943,Maryland,NA,
1943,Michigan,59586,
1943,Montana,144442,
1943,Nevada,5563,
1943,New Mexico,NA,
1943,North Carolina,NA,
1943,Oregon,3131,
1943,South Dakota,106444,
1943,Tennessee,303,
1943,Texas,4,
1943,Utah,390470,
1943,Vermont,NA,
1943,Virginia,NA,
1943,Washington,65244,
1943,Wyoming,NA,
1944,Alabama,0,
1944,Alaska,49296,
1944,Arizona,112162,
1944,California,117373,
1944,Colorado,111455,
1944,Georgia,5,
1944,Idaho,25,
1944,Maryland,NA,
1944,Michigan,50021,
1944,Montana,119056,
1944,Nevada,6918,
1944,New Mexico,NA,
1944,North Carolina,NA,
1944,Oregon,2113,
1944,South Dakota,11621,
1944,Tennessee,222,
1944,Texas,NA,
1944,Utah,344223,
1944,Vermont,NA,
1944,Virginia,NA,
1944,Washington,47277,
1944,Wyoming,20,
1945,Alabama,5,
1945,Alaska,68117,
1945,Arizona,77223,
1945,California,147938,
1945,Colorado,100935,
1945,Georgia,0,
1945,Idaho,17,
1945,Maryland,NA,
1945,Michigan,44597,
1945,Montana,92265,
1945,Nevada,5604,
1945,New Mexico,NA,
1945,North Carolina,NA,
1945,Oregon,4467,
1945,South Dakota,55948,
1945,Tennessee,148,
1945,Texas,9,
1945,Utah,279979,
1945,Vermont,NA,
1945,Virginia,NA,
1945,Washington,57860,
1945,Wyoming,2,
1946,Alabama,1,
1946,Alaska,226781,
1946,Arizona,79024,
1946,California,356824,
1946,Colorado,142613,
1946,Georgia,21,
1946,Idaho,42,
1946,Maryland,NA,
1946,Michigan,70507,
1946,Montana,90680,
1946,Nevada,4009,
1946,New Mexico,NA,
1946,North Carolina,NA,
1946,Oregon,17598,
1946,South Dakota,312247,
1946,Tennessee,95,
1946,Texas,45,
1946,Utah,178533,
1946,Vermont,NA,
1946,Virginia,NA,
1946,Washington,51168,
1946,Wyoming,105,
1947,Alabama,0,
1947,Alaska,279988,
1947,Arizona,95860,
1947,California,431415,
1947,Colorado,168279,
1947,Georgia,76,
1947,Idaho,64,
1947,Maryland,NA,
1947,Michigan,90124,
1947,Montana,89063,
1947,Nevada,3146,
1947,New Mexico,NA,
1947,North Carolina,NA,
1947,Oregon,18197,
1947,South Dakota,407194,
1947,Tennessee,303,
1947,Texas,57,
1947,Utah,421662,
1947,Vermont,NA,
1947,Virginia,NA,
1947,Washington,34965,
1947,Wyoming,1486,
1948,Alabama,0,
1948,Alaska,248395,
1948,Arizona,109487,
1948,California,428473,
1948,Colorado,154802,
1948,Georgia,19,
1948,Idaho,58,
1948,Maryland,NA,
1948,Michigan,73091,
1948,Montana,111532,
1948,Nevada,3414,
1948,New Mexico,NA,
1948,North Carolina,NA,
1948,Oregon,14611,
1948,South Dakota,377850,
1948,Tennessee,156,
1948,Texas,40,
1948,Utah,368422,
1948,Vermont,NA,
1948,Virginia,NA,
1948,Washington,70075,
1948,Wyoming,115,
1949,Alabama,0,
1949,Alaska,229416,
1949,Arizona,108993,
1949,California,417231,
1949,Colorado,102618,
1949,Georgia,18,
1949,Idaho,77,
1949,Maryland,NA,
1949,Michigan,52724,
1949,Montana,130399,
1949,Nevada,3249,
1949,New Mexico,NA,
1949,North Carolina,NA,
1949,Oregon,1316,
1949,South Dakota,464650,
1949,Tennessee,171,
1949,Texas,49,
1949,Utah,314058,
1949,Vermont,NA,
1949,Virginia,NA,
1949,Washington,71994,
1949,Wyoming,389,
1950,Alabama,0,
1950,Alaska,289285,
1950,Arizona,118313,
1950,California,412118,
1950,Colorado,130390,
1950,Georgia,0,
1950,Idaho,79,
1950,Maryland,20,
1950,Michigan,51764,
1950,Montana,178447,
1950,Nevada,3414,
1950,New Mexico,NA,
1950,North Carolina,NA,
1950,Oregon,11058,
1950,South Dakota,567996,
1950,Tennessee,160,
1950,Texas,32,
1950,Utah,457551,
1950,Vermont,NA,
1950,Virginia,NA,
1950,Washington,92117,
1950,Wyoming,NA,
1951,Alabama,NA,
1951,Alaska,239628,
1951,Arizona,116093,
1951,California,339732,
1951,Colorado,116503,
1951,Georgia,3,
1951,Idaho,45,
1951,Maryland,1,
1951,Michigan,30502,
1951,Montana,121036,
1951,Nevada,3959,
1951,New Mexico,NA,
1951,North Carolina,NA,
1951,Oregon,7927,
1951,South Dakota,458101,
1951,Tennessee,108,
1951,Texas,39,
1951,Utah,432216,
1951,Vermont,NA,
1951,Virginia,NA,
1951,Washington,67405,
1951,Wyoming,9,
1952,Alabama,NA,
1952,Alaska,240571,
1952,Arizona,112355,
1952,California,258176,
1952,Colorado,124594,
1952,Georgia,0,
1952,Idaho,32,
1952,Maryland,NA,
1952,Michigan,24161,
1952,Montana,117203,
1952,Nevada,2949,
1952,New Mexico,NA,
1952,North Carolina,NA,
1952,Oregon,5091,
1952,South Dakota,482534,
1952,Tennessee,241,
1952,Texas,NA,
1952,Utah,435507,
1952,Vermont,NA,
1952,Virginia,NA,
1952,Washington,54776,
1952,Wyoming,1,
1953,Alabama,NA,
1953,Alaska,253771,
1953,Arizona,112824,
1953,California,234591,
1953,Colorado,119218,
1953,Georgia,2,
1953,Idaho,17,
1953,Maryland,NA,
1953,Michigan,24768,
1953,Montana,101799,
1953,Nevada,2614,
1953,New Mexico,NA,
1953,North Carolina,NA,
1953,Oregon,8488,
1953,South Dakota,534987,
1953,Tennessee,293,
1953,Texas,NA,
1953,Utah,483430,
1953,Vermont,NA,
1953,Virginia,NA,
1953,Washington,62560,
1953,Wyoming,1,
1954,Alabama,NA,
1954,Alaska,248511,
1954,Arizona,114809,
1954,California,237888,
1954,Colorado,96146,
1954,Georgia,0,
1954,Idaho,13,
1954,Maryland,NA,
1954,Michigan,23660,
1954,Montana,79067,
1954,Nevada,3539,
1954,New Mexico,NA,
1954,North Carolina,NA,
1954,Oregon,9214,
1954,South Dakota,541445,
1954,Tennessee,218,
1954,Texas,NA,
1954,Utah,403401,
1954,Vermont,NA,
1954,Virginia,NA,
1954,Washington,66740,
1954,Wyoming,407,
1955,Alabama,NA,
1955,Alaska,249294,
1955,Arizona,127616,
1955,California,251737,
1955,Colorado,88577,
1955,Georgia,NA,
1955,Idaho,10,
1955,Maryland,NA,
1955,Michigan,28123,
1955,Montana,72913,
1955,Nevada,1917,
1955,New Mexico,NA,
1955,North Carolina,NA,
1955,Oregon,1901,
1955,South Dakota,529865,
1955,Tennessee,221,
1955,Texas,NA,
1955,Utah,441206,
1955,Vermont,NA,
1955,Virginia,NA,
1955,Washington,74360,
1955,Wyoming,52,
1956,Alabama,NA,
1956,Alaska,204300,
1956,Arizona,146110,
1956,California,193816,
1956,Colorado,97668,
1956,Georgia,2,
1956,Idaho,9,
1956,Maryland,NA,
1956,Michigan,38121,
1956,Montana,68040,
1956,Nevada,3275,
1956,New Mexico,NA,
1956,North Carolina,NA,
1956,Oregon,8822,
1956,South Dakota,568523,
1956,Tennessee,189,
1956,Texas,NA,
1956,Utah,416031,
1956,Vermont,NA,
1956,Virginia,NA,
1956,Washington,70669,
1956,Wyoming,762,
1957,Alabama,NA,
1957,Alaska,215467,
1957,Arizona,152449,
1957,California,170885,
1957,Colorado,87928,
1957,Georgia,NA,
1957,Idaho,12,
1957,Maryland,NA,
1957,Michigan,32766,
1957,Montana,76752,
1957,Nevada,3212,
1957,New Mexico,NA,
1957,North Carolina,NA,
1957,Oregon,1373,
1957,South Dakota,568130,
1957,Tennessee,172,
1957,Texas,NA,
1957,Utah,378438,
1957,Vermont,NA,
1957,Virginia,NA,
1957,Washington,88108,
1957,Wyoming,573,
1958,Alabama,NA,
1958,Alaska,186000,
1958,Arizona,142979,
1958,California,185400,
1958,Colorado,79539,
1958,Georgia,NA,
1958,Idaho,15,
1958,Maryland,NA,
1958,Michigan,26003,
1958,Montana,105087,
1958,Nevada,3378,
1958,New Mexico,NA,
1958,North Carolina,NA,
1958,Oregon,8788,
1958,South Dakota,570830,
1958,Tennessee,124,
1958,Texas,NA,
1958,Utah,307824,
1958,Vermont,NA,
1958,Virginia,NA,
1958,Washington,111753,
1958,Wyoming,117,
1959,Alabama,NA,
1959,Alaska,171000,
1959,Arizona,124627,
1959,California,146141,
1959,Colorado,61097,
1959,Georgia,NA,
1959,Idaho,10,
1959,Maryland,NA,
1959,Michigan,28551,
1959,Montana,113443,
1959,Nevada,3155,
1959,New Mexico,NA,
1959,North Carolina,NA,
1959,Oregon,965,
1959,South Dakota,577730,
1959,Tennessee,99,
1959,Texas,NA,
1959,Utah,239517,
1959,Vermont,NA,
1959,Virginia,NA,
1959,Washington,116794,
1959,Wyoming,NA,
1960,Alabama,NA,
1960,Alaska,180000,
1960,Arizona,143064,
1960,California,123713,
1960,Colorado,61269,
1960,Georgia,NA,
1960,Idaho,6,
1960,Maryland,NA,
1960,Michigan,45922,
1960,Montana,58187,
1960,Nevada,5423,
1960,New Mexico,NA,
1960,North Carolina,NA,
1960,Oregon,3182,
1960,South Dakota,554771,
1960,Tennessee,123,
1960,Texas,NA,
1960,Utah,368255,
1960,Vermont,NA,
1960,Virginia,NA,
1960,Washington,127412,
1960,Wyoming,401,
1961,Alabama,NA,
1961,Alaska,114228,
1961,Arizona,145959,
1961,California,97648,
1961,Colorado,67515,
1961,Georgia,NA,
1961,Idaho,5,
1961,Maryland,NA,
1961,Michigan,35377,
1961,Montana,54165,
1961,Nevada,6201,
1961,New Mexico,NA,
1961,North Carolina,NA,
1961,Oregon,2094,
1961,South Dakota,557855,
1961,Tennessee,152,
1961,Texas,NA,
1961,Utah,342988,
1961,Vermont,NA,
1961,Virginia,NA,
1961,Washington,115731,
1961,Wyoming,NA,
1962,Alabama,NA,
1962,Alaska,165142,
1962,Arizona,137207,
1962,California,106272,
1962,Colorado,48882,
1962,Georgia,NA,
1962,Idaho,5,
1962,Maryland,NA,
1962,Michigan,24387,
1962,Montana,62863,
1962,Nevada,7529,
1962,New Mexico,NA,
1962,North Carolina,NA,
1962,Oregon,469,
1962,South Dakota,577232,
1962,Tennessee,158,
1962,Texas,NA,
1962,Utah,311924,
1962,Vermont,NA,
1962,Virginia,NA,
1962,Washington,92071,
1962,Wyoming,NA,
1963,Alabama,NA,
1963,Alaska,99000,
1963,Arizona,140030,
1963,California,86867,
1963,Colorado,33605,
1963,Georgia,NA,
1963,Idaho,5,
1963,Maryland,NA,
1963,Michigan,18520,
1963,Montana,98879,
1963,Nevada,7805,
1963,New Mexico,NA,
1963,North Carolina,NA,
1963,Oregon,331,
1963,South Dakota,576726,
1963,Tennessee,137,
1963,Texas,NA,
1963,Utah,285907,
1963,Vermont,NA,
1963,Virginia,NA,
1963,Washington,97038,
1963,Wyoming,4,
1964,Alabama,NA,
1964,Alaska,58000,
1964,Arizona,153676,
1964,California,71028,
1964,Colorado,42122,
1964,Georgia,NA,
1964,Idaho,5,
1964,Maryland,NA,
1964,Michigan,29115,
1964,Montana,90469,
1964,Nevada,6110,
1964,New Mexico,NA,
1964,North Carolina,NA,
1964,Oregon,NA,
1964,South Dakota,616913,
1964,Tennessee,133,
1964,Texas,NA,
1964,Utah,287674,
1964,Vermont,NA,
1964,Virginia,NA,
1964,Washington,92708,
1964,Wyoming,6,
1965,Alabama,NA,
1965,Alaska,43000,
1965,Arizona,150431,
1965,California,62885,
1965,Colorado,37228,
1965,Georgia,NA,
1965,Idaho,5,
1965,Maryland,NA,
1965,Michigan,22772,
1965,Montana,229050,
1965,Nevada,964,
1965,New Mexico,NA,
1965,North Carolina,NA,
1965,Oregon,NA,
1965,South Dakota,628259,
1965,Tennessee,122,
1965,Texas,NA,
1965,Utah,426299,
1965,Vermont,NA,
1965,Virginia,NA,
1965,Washington,89074,
1965,Wyoming,3,
1966,Alabama,NA,
1966,Alaska,27325,
1966,Arizona,142528,
1966,California,64764,
1966,Colorado,31915,
1966,Georgia,NA,
1966,Idaho,5,
1966,Maryland,NA,
1966,Michigan,25009,
1966,Montana,366903,
1966,Nevada,9295,
1966,New Mexico,NA,
1966,North Carolina,NA,
1966,Oregon,NA,
1966,South Dakota,606467,
1966,Tennessee,141,
1966,Texas,NA,
1966,Utah,438736,
1966,Vermont,NA,
1966,Virginia,NA,
1966,Washington,83400,
1966,Wyoming,NA,
1967,Alabama,NA,
1967,Alaska,22948,
1967,Arizona,80844,
1967,California,40570,
1967,Colorado,21181,
1967,Georgia,NA,
1967,Idaho,4,
1967,Maryland,NA,
1967,Michigan,9786,
1967,Montana,434993,
1967,Nevada,5188,
1967,New Mexico,NA,
1967,North Carolina,NA,
1967,Oregon,NA,
1967,South Dakota,601785,
1967,Tennessee,181,
1967,Texas,NA,
1967,Utah,288350,
1967,Vermont,NA,
1967,Virginia,NA,
1967,Washington,71737,
1967,Wyoming,NA,
1968,Alabama,NA,
1968,Alaska,21000,
1968,Arizona,95999,
1968,California,15682,
1968,Colorado,22638,
1968,Georgia,NA,
1968,Idaho,3,
1968,Maryland,NA,
1968,Michigan,12799,
1968,Montana,317382,
1968,Nevada,6630,
1968,New Mexico,NA,
1968,North Carolina,NA,
1968,Oregon,NA,
1968,South Dakota,593052,
1968,Tennessee,140,
1968,Texas,NA,
1968,Utah,334419,
1968,Vermont,NA,
1968,Virginia,NA,
1968,Washington,52853,
1968,Wyoming,NA,
1969,Alabama,NA,
1969,Alaska,21227,
1969,Arizona,110878,
1969,California,7904,
1969,Colorado,25777,
1969,Georgia,NA,
1969,Idaho,3,
1969,Maryland,NA,
1969,Michigan,24189,
1969,Montana,456294,
1969,Nevada,8952,
1969,New Mexico,NA,
1969,North Carolina,NA,
1969,Oregon,NA,
1969,South Dakota,593146,
1969,Tennessee,126,
1969,Texas,NA,
1969,Utah,433385,
1969,Vermont,NA,
1969,Virginia,NA,
1969,Washington,45400,
1969,Wyoming,NA,
1970,Alabama,NA,
1970,Alaska,38400,
1970,Arizona,109853,
1970,California,4999,
1970,Colorado,37114,
1970,Georgia,NA,
1970,Idaho,3,
1970,Maryland,NA,
1970,Michigan,22456,
1970,Montana,480144,
1970,Nevada,8719,
1970,New Mexico,NA,
1970,North Carolina,NA,
1970,Oregon,NA,
1970,South Dakota,578716,
1970,Tennessee,124,
1970,Texas,NA,
1970,Utah,408029,
1970,Vermont,NA,
1970,Virginia,NA,
1970,Washington,53400,
1970,Wyoming,NA,
1971,Alabama,NA,
1971,Alaska,34000,
1971,Arizona,94038,
1971,California,2966,
1971,Colorado,42031,
1971,Georgia,NA,
1971,Idaho,3,
1971,Maryland,NA,
1971,Michigan,15613,
1971,Montana,374878,
1971,Nevada,10681,
1971,New Mexico,NA,
1971,North Carolina,NA,
1971,Oregon,NA,
1971,South Dakota,513427,
1971,Tennessee,192,
1971,Texas,NA,
1971,Utah,368996,
1971,Vermont,NA,
1971,Virginia,NA,
1971,Washington,53834,
1971,Wyoming,NA,
1972,Alabama,NA,
1972,Alaska,8639,
1972,Arizona,102996,
1972,California,3974,
1972,Colorado,61100,
1972,Georgia,NA,
1972,Idaho,2,
1972,Maryland,NA,
1972,Michigan,23725,
1972,Montana,419748,
1972,Nevada,14897,
1972,New Mexico,NA,
1972,North Carolina,NA,
1972,Oregon,NA,
1972,South Dakota,407430,
1972,Tennessee,176,
1972,Texas,NA,
1972,Utah,362413,
1972,Vermont,NA,
1972,Virginia,NA,
1972,Washington,41600,
1972,Wyoming,NA,
1973,Alabama,NA,
1973,Alaska,15000,
1973,Arizona,102848,
1973,California,3647,
1973,Colorado,63422,
1973,Georgia,NA,
1973,Idaho,2,
1973,Maryland,NA,
1973,Michigan,27806,
1973,Montana,260437,
1973,Nevada,13864,
1973,New Mexico,NA,
1973,North Carolina,NA,
1973,Oregon,NA,
1973,South Dakota,357575,
1973,Tennessee,68,
1973,Texas,NA,
1973,Utah,307080,
1973,Vermont,NA,
1973,Virginia,NA,
1973,Washington,27600,
1973,Wyoming,NA,
1974,Alabama,NA,
1974,Alaska,16000,
1974,Arizona,90586,
1974,California,5049,
1974,Colorado,52083,
1974,Georgia,NA,
1974,Idaho,2,
1974,Maryland,NA,
1974,Michigan,28268,
1974,Montana,298754,
1974,Nevada,15427,
1974,New Mexico,NA,
1974,North Carolina,NA,
1974,Oregon,NA,
1974,South Dakota,343723,
1974,Tennessee,18,
1974,Texas,NA,
1974,Utah,254909,
1974,Vermont,NA,
1974,Virginia,NA,
1974,Washington,25000,
1974,Wyoming,NA,
1975,Alabama,NA,
1975,Alaska,14980,
1975,Arizona,85790,
1975,California,9606,
1975,Colorado,55483,
1975,Georgia,NA,
1975,Idaho,2,
1975,Maryland,NA,
1975,Michigan,17259,
1975,Montana,332814,
1975,Nevada,15049,
1975,New Mexico,NA,
1975,North Carolina,NA,
1975,Oregon,NA,
1975,South Dakota,304935,
1975,Tennessee,NA,
1975,Texas,NA,
1975,Utah,189620,
1975,Vermont,NA,
1975,Virginia,NA,
1975,Washington,22600,
1975,Wyoming,NA,
1976,Alabama,NA,
1976,Alaska,22887,
1976,Arizona,102062,
1976,California,10392,
1976,Colorado,50764,
1976,Georgia,NA,
1976,Idaho,2,
1976,Maryland,NA,
1976,Michigan,24075,
1976,Montana,287962,
1976,Nevada,15198,
1976,New Mexico,NA,
1976,North Carolina,NA,
1976,Oregon,NA,
1976,South Dakota,318511,
1976,Tennessee,NA,
1976,Texas,NA,
