synthetic_id,year,yearbook_table_id,yearbook_table_trans,bgs_statistic_type_trans,country_trans,country_iso2_code,country_iso3_code,pole_of_inaccessibility_longitude,pole_of_inaccessibility_latitude,bgs_commodity_code,bgs_commodity_trans,bgs_sub_commodity_trans,erml_group,erml_commodity,erml_sub_commodity,cgi_commodity_url,quantity,quantity_in_book_style,data_precision_description,sdmx_code,sdmx_translation,units,concat_table_notes_code,concat_table_notes_text,concat_figure_notes_code,concat_figure_notes_text
1-107-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Guyana,GY,GUY,-58.939265,4.871915,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,44,44,,A,Normal value,kilograms,,,,
1-144-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Cambodia,KH,KHM,104.457827,12.560177,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,124,124,,A,Normal value,kilograms,,,,
1-262-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Australia,AU,AUS,132.721356,-23.137734,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,20918,20918,,A,Normal value,kilograms,,,,
1-270-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Finland,FI,FIN,27.679723,63.018751,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,544,544,,A,Normal value,kilograms,,,,
1-208-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Fiji,FJ,FJI,177.975198,-17.824134,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,2772,2772,,A,Normal value,kilograms,,,,
1-30237-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Korea (Rep. of),KR,KOR,128.000000,36.000000,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,894,894,,A,Normal value,kilograms,,,,
1-98-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Ecuador,EC,ECU,-78.387217,-1.448862,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,344,344,,A,Normal value,kilograms,,,,
1-181-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Taiwan,TW,TWN,120.964347,23.753332,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,606,606,,A,Normal value,kilograms,,,,
1-110-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Honduras,HN,HND,-86.625162,14.818428,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,84,84,,A,Normal value,kilograms,,,,
1-99-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,El Salvador,SV,SLV,-88.872324,13.736452,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,109,109,,A,Normal value,kilograms,,,,
1-273-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,German Federal Republic,DE,DEU,7.100000,50.733333,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,53,53,,A,Normal value,kilograms,,,,
1-293-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Spain,ES,ESP,-3.562909,40.389544,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,4748,4748,,A,Normal value,kilograms,,,,
1-36-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Madagascar,MG,MDG,46.863413,-18.771091,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,13,13,,A,Normal value,kilograms,,,,
1-93-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Costa Rica,CR,CRI,-84.192011,9.974655,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,156,156,,A,Normal value,kilograms,,,,
1-30349-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,USA,US,USA,-97.834383,39.139831,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,46504,46504,,A,Normal value,kilograms,,,,
1-30261-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Soviet Union,SU,SUN,82.510000,55.510000,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,359800,359800,,A,Normal value,kilograms,,,*,Estimates.
1-25-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Ghana,GH,GHA,-1.037270,6.962366,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,21695,21695,,A,Normal value,kilograms,,,,
1-30236-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,"Korea, Dem. P.R. of",KP,PRK,127.000000,40.000000,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,5000,5000,,A,Normal value,kilograms,,,*,Estimates.
1-30398-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Suriname,SR,SUR,-55.911071,4.131244,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,20,20,,A,Normal value,kilograms,,,,
1-223-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Solomon Islands,SB,SLB,160.170302,-9.622609,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,14,14,,A,Normal value,kilograms,,,*,Estimates.
1-145-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,China,CN,CHN,109.537431,32.216659,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,1500,1500,,A,Normal value,kilograms,,,*,Estimates.
1-71-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Zaire,ZR,ZAR,23.625457,-2.883451,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,5340,5340,,A,Normal value,kilograms,,,,
1-102-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,France (French Guiana),GF,GUF,-53.132164,3.927719,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,72,72,,A,Normal value,kilograms,,,,
1-203-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Yugoslavia,YU,YUG,20.450000,44.816667,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,3850,3850,,A,Normal value,kilograms,,,,
1-266-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Canada,CA,CAN,-119.677633,59.205384,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,70318,70318,,A,Normal value,kilograms,,,,
1-59-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,South Africa,ZA,ZAF,23.214466,-30.457875,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,976297,976297,,A,Normal value,kilograms,,,,
1-164-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Malaysia,MY,MYS,102.186548,4.029745,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,228,228,,A,Normal value,kilograms,,,,
1-20-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Ethiopia,ET,ETH,38.369268,8.782801,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,660,660,,A,Normal value,kilograms,,,,
1-92-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Colombia,CO,COL,-73.327862,3.734623,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,5874,5874,,A,Normal value,kilograms,,,,
1-91-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Chile,CL,CHL,-69.731919,-26.162883,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,1996,1996,,A,Normal value,kilograms,,,,
1-114-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Mexico,MX,MEX,-101.933344,23.629557,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,4694,4694,,A,Normal value,kilograms,,,,
1-72-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Zambia,ZM,ZMB,26.300237,-14.983260,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,301,301,,A,Normal value,kilograms,,,*|c,"Estimates.|Contained in blister copper, refinery muds and electrolytic copper."
1-149-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,India,IN,IND,79.282538,22.642556,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,3668,3668,,A,Normal value,kilograms,,,,
1-294-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Sweden,SE,SWE,18.043765,65.542091,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,1696,1696,,A,Normal value,kilograms,,,,
1-150-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Indonesia,ID,IDN,114.218582,-0.966315,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,329,329,,A,Normal value,kilograms,,,,
1-102-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,France (French Guiana),GF,GUF,-53.132164,3.927719,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,31,31,,A,Normal value,kilograms,,,,
1-30261-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,Soviet Union,SU,SUN,82.510000,55.510000,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,378900,378900,,A,Normal value,kilograms,,,*,Estimates.
1-72-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,Zambia,ZM,ZMB,26.300237,-14.983260,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,355,355,,A,Normal value,kilograms,,,*|c,"Estimates.|Contained in blister copper, refinery muds and electrolytic copper."
1-110-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,Honduras,HN,HND,-86.625162,14.818428,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,63,63,,A,Normal value,kilograms,,,,
1-150-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,Indonesia,ID,IDN,114.218582,-0.966315,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,339,339,,A,Normal value,kilograms,,,,
1-203-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,Yugoslavia,YU,YUG,20.450000,44.816667,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,3920,3920,,A,Normal value,kilograms,,,,
1-99-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,El Salvador,SV,SLV,-88.872324,13.736452,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,89,89,,A,Normal value,kilograms,,,,
1-149-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,India,IN,IND,79.282538,22.642556,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,3290,3290,,A,Normal value,kilograms,,,,
1-293-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,Spain,ES,ESP,-3.562909,40.389544,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,5629,5629,,A,Normal value,kilograms,,,t,Gold content of bullion produced from 1975.
1-91-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,Chile,CL,CHL,-69.731919,-26.162883,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,2942,2942,,A,Normal value,kilograms,,,,
1-93-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,Costa Rica,CR,CRI,-84.192011,9.974655,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,311,311,,A,Normal value,kilograms,,,,
1-98-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,Ecuador,EC,ECU,-78.387217,-1.448862,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,393,393,,A,Normal value,kilograms,,,,
1-36-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,Madagascar,MG,MDG,46.863413,-18.771091,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,6,6,,A,Normal value,kilograms,,,,
1-71-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,Zaire,ZR,ZAR,23.625457,-2.883451,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,2539,2539,,A,Normal value,kilograms,,,,
1-181-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,Taiwan,TW,TWN,120.964347,23.753332,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,556,556,,A,Normal value,kilograms,,,,
1-164-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,Malaysia,MY,MYS,102.186548,4.029745,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,220,220,,A,Normal value,kilograms,,,,
1-294-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,Sweden,SE,SWE,18.043765,65.542091,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,1790,1790,,A,Normal value,kilograms,,,,
1-30349-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,USA,US,USA,-97.834383,39.139831,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,45099,45099,,A,Normal value,kilograms,,,,
1-59-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,South Africa,ZA,ZAF,23.214466,-30.457875,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,909631,909631,,A,Normal value,kilograms,,,,
1-92-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,Colombia,CO,COL,-73.327862,3.734623,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,5811,5811,,A,Normal value,kilograms,,,,
1-145-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,China,CN,CHN,109.537431,32.216659,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,1500,1500,,A,Normal value,kilograms,,,*,Estimates.
1-25-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,Ghana,GH,GHA,-1.037270,6.962366,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,22529,22529,,A,Normal value,kilograms,,,,
1-273-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,German Federal Republic,DE,DEU,7.100000,50.733333,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,84,84,,A,Normal value,kilograms,,,,
1-114-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,Mexico,MX,MEX,-101.933344,23.629557,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,4543,4543,,A,Normal value,kilograms,,,,
1-20-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,Ethiopia,ET,ETH,38.369268,8.782801,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,646,646,,A,Normal value,kilograms,,,,
1-30398-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,Suriname,SR,SUR,-55.911071,4.131244,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,17,17,,A,Normal value,kilograms,,,,
1-266-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,Canada,CA,CAN,-119.677633,59.205384,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,64652,64652,,A,Normal value,kilograms,,,,
1-223-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,Solomon Islands,SB,SLB,160.170302,-9.622609,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,20,20,,A,Normal value,kilograms,,,,
1-30236-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,"Korea, Dem. P.R. of",KP,PRK,127.000000,40.000000,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,5000,5000,,A,Normal value,kilograms,,,*,Estimates.
1-289-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,Romania,RO,ROU,24.972941,45.853464,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,1900,1900,,A,Normal value,kilograms,,,*,Estimates.
1-118-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,Nicaragua,NI,NIC,-85.034260,12.845120,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,2650,2650,,A,Normal value,kilograms,,,,
1-122-883-57-1972,1972-01-01 00:00:00,57,Mine production of gold,Production,Peru,PE,PER,-73.033826,-13.197341,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,3966,3966,,A,Normal value,kilograms,,,,
